"(0.1161, 0.0406, -0.4781, -0.1859, -0.2809)",[ 3.0821 -1.7062  0.25  ]
"(0.1051, 0.0377, -0.4834, -0.2905, -0.2817)",[ 2.9576 -1.8129  0.25  ]
"(0.1099, 0.036, -0.4821, -0.2909, -0.4248)",[ 2.6863 -2.1463  0.25  ]
"(0.111, 0.2075, -0.4723, -0.2845, -0.4104)",[ 2.9704 -1.8511  0.25  ]
"(0.1187, 0.2059, -0.474, -0.2824, -0.3748)",[ 3.0496 -1.7472  0.25  ]
"(0.1147, 0.194, -0.484, -0.2913, -0.4667)",[ 2.8903 -1.9578  0.25  ]
"(0.105, 0.2051, -0.4762, -0.2296, -0.4543)",[ 2.936  -1.9258  0.25  ]
"(0.1138, 0.2047, 0.4427, -0.2252, -0.4558)",[ 3.5914 -0.3737  0.25  ]
"(0.1139, 0.2021, 0.4429, 0.2488, -0.4584)",[3.4634 0.1657 0.25  ]
"(0.1022, 0.1953, 0.4341, -0.481, -0.4641)",[ 3.5488 -0.6915  0.25  ]
"(0.1095, 0.2065, 0.4433, -0.479, -0.1819)",[3.6159 0.1902 0.25  ]
"(0.1097, 0.2024, 0.4409, -0.4799, 0.2525)",[3.2362 1.5316 0.25  ]
"(0.1096, 0.2015, 0.4402, -0.4804, 0.3315)",[3.1052 1.7537 0.25  ]
"(0.1137, 0.2018, 0.4427, 0.2571, 0.3312)",[2.4288 2.3033 0.25  ]
"(0.1082, -0.2649, 0.4344, 0.2566, 0.322)",[3.2017 1.4842 0.25  ]
"(0.1066, -0.2648, 0.2293, 0.2555, 0.3257)",[3.4186 1.1603 0.25  ]
"(0.1034, -0.2635, 0.2254, -0.0709, 0.3271)",[3.5885 0.7916 0.25  ]
"(0.1103, -0.2639, 0.228, -0.0705, 0.0752)",[ 3.6846 -0.005   0.25  ]
"(0.1103, -0.2633, 0.2284, -0.0704, -0.2039)",[ 3.5555 -0.9139  0.25  ]
"(-0.1478, -0.2641, 0.2255, -0.075, -0.2039)",[ 3.505  -1.0702  0.25  ]
"(-0.1548, -0.2661, -0.0942, -0.0761, -0.2058)",[ 3.2305 -1.5912  0.25  ]
"(-0.1521, -0.2626, -0.26, -0.0727, -0.202)",[ 3.0346 -1.8123  0.25  ]
"(-0.154, -0.2642, -0.2718, -0.0742, -0.2039)",[ 3.0047 -1.8437  0.25  ]
"(-0.1554, -0.2571, -0.1898, -0.0704, -0.1967)",[ 3.1041 -1.7399  0.25  ]
"(0.2066, -0.2554, -0.1848, -0.0639, -0.1958)",[ 3.2495 -1.5576  0.25  ]
"(0.2133, -0.2557, 0.2904, -0.0655, -0.1964)",[ 3.5801 -0.7721  0.25  ]
"(0.1546, -0.2651, 0.2855, -0.073, -0.2053)",[ 3.575  -0.8083  0.25  ]
"(0.3064, -0.2548, 0.2961, -0.0626, -0.1954)",[ 3.5888 -0.6711  0.25  ]
"(0.3178, -0.2607, 0.2918, -0.0649, -0.252)",[ 3.5498 -0.8259  0.25  ]
"(0.3104, -0.2636, 0.2884, -0.0702, -0.3744)",[ 3.4169 -1.2351  0.25  ]
"(0.2067, -0.2593, 0.2904, -0.0708, -0.3693)",[ 3.4066 -1.2921  0.25  ]
"(0.357, -0.2575, 0.2929, -0.0664, -0.3678)",[ 3.4213 -1.2041  0.25  ]
"(0.3628, 0.3276, 0.2969, -0.0653, -0.3608)",[3.5522 0.2573 0.25  ]
"(0.3598, 0.3231, 0.2915, -0.0696, 0.1338)",[3.0617 1.716  0.25  ]
"(0.3575, -0.4071, 0.2831, -0.0744, 0.1204)",[3.6453 0.0056 0.25  ]
"(0.1559, -0.4006, 0.2895, -0.0705, 0.1293)",[ 3.6654 -0.0722  0.25  ]
"(0.0452, -0.4017, 0.2881, -0.0722, 0.1284)",[ 3.6682 -0.1358  0.25  ]
"(0.0429, -0.4046, 0.2872, -0.0705, 0.0346)",[ 3.6445 -0.4167  0.25  ]
"(0.0399, -0.3913, 0.2953, -0.068, 0.3106)",[3.6411 0.447  0.25  ]
"(-0.0985, -0.4088, 0.2802, -0.0808, 0.2921)",[3.6561 0.2871 0.25  ]
"(-0.1026, -0.4061, 0.0961, -0.0756, 0.2944)",[ 3.6576 -0.0139  0.25  ]
"(-0.1105, -0.404, 0.1047, -0.0772, 0.2969)",[ 3.6546 -0.0454  0.25  ]
"(0.2562, -0.3967, 0.1137, -0.0655, 0.303)",[3.6541 0.2185 0.25  ]
"(0.2589, -0.4005, 0.1096, 0.0066, 0.2995)",[3.6491 0.261  0.25  ]
"(0.2621, 0.0059, 0.1156, 0.0137, 0.3077)",[3.4062 1.3007 0.25  ]
"(0.2605, 0.2512, 0.1122, 0.0112, 0.3031)",[3.0809 1.8249 0.25  ]
"(0.2565, -0.0797, 0.1012, 0.0039, 0.2883)",[3.4966 1.0828 0.25  ]
"(0.2684, -0.06, 0.1217, 0.1945, 0.3086)",[3.3491 1.3526 0.25  ]
"(0.255, -0.0785, 0.1005, 0.0289, 0.2926)",[3.4857 1.1018 0.25  ]
