%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.position0,field.position1,field.position2,field.position3,field.position4,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.effort0,field.effort1,field.effort2,field.effort3,field.effort4
222631000000,11113,222631000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292522058970462e-10,5.981020123613234e-10,-5.203881769944019e-10,5.977165429271736e-10,1.2120805275575226e-12,-7.161264022923588e-13,-2.769140378659349e-13,1.7132349695369123e-13,-9.364633504297867e-13,0.0,0.0,0.0,0.0,0.0
222651000000,11114,222651000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292522058970462e-10,5.981020123613234e-10,-5.203872888159822e-10,5.97718319284013e-10,1.2120805283200525e-12,-7.161264009792864e-13,-2.769140366123417e-13,1.7132349804948522e-13,-9.36463349186296e-13,0.0,0.0,0.0,0.0,0.0
222671000000,11115,222671000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292522058970462e-10,5.98100236004484e-10,-5.203881769944019e-10,5.977165429271736e-10,1.2120805273031313e-12,-7.161264027302682e-13,-2.7691403828397677e-13,1.7132349658821937e-13,-9.364633508444906e-13,0.0,0.0,0.0,0.0,0.0
222691000000,11116,222691000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292522058970462e-10,5.98100236004484e-10,-5.203881769944019e-10,5.97718319284013e-10,1.212080527302635e-12,-7.161264027308619e-13,-2.7691403828458484e-13,1.7132349658761918e-13,-9.3646335084487e-13,0.0,0.0,0.0,0.0,0.0
222711000000,11117,222711000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292522058970462e-10,5.981020123613234e-10,-5.203881769944019e-10,5.977165429271736e-10,1.2120805283184052e-12,-7.161264009821219e-13,-2.7691403661509424e-13,1.7132349804699782e-13,-9.364633491891695e-13,0.0,0.0,0.0,0.0,0.0
222731000000,11118,222731000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292522058970462e-10,5.981020123613234e-10,-5.203881769944019e-10,5.97718319284013e-10,1.2120805288279371e-12,-7.161264001048745e-13,-2.7691403577751087e-13,1.7132349877920695e-13,-9.36463348358408e-13,0.0,0.0,0.0,0.0,0.0
222751000000,11119,222751000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292522058970462e-10,5.981020123613234e-10,-5.203881769944019e-10,5.977165429271736e-10,1.212080528826022e-12,-7.161264001086422e-13,-2.769140357809137e-13,1.7132349877637058e-13,-9.364633483622886e-13,0.0,0.0,0.0,0.0,0.0
222771000000,11120,222771000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292522058970462e-10,5.981020123613234e-10,-5.203881769944019e-10,5.97718319284013e-10,1.2120805280672955e-12,-7.161264014147673e-13,-2.7691403702793633e-13,1.7132349768620167e-13,-9.36463349598856e-13,0.0,0.0,0.0,0.0,0.0
222791000000,11121,222791000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292522058970462e-10,5.981020123613234e-10,-5.203872888159822e-10,5.977165429271736e-10,1.2120805288295358e-12,-7.161264001027504e-13,-2.769140357751721e-13,1.7132349878142798e-13,-9.36463348356818e-13,0.0,0.0,0.0,0.0,0.0
222811000000,11122,222811000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292504295402068e-10,5.981020123613234e-10,-5.203881769944019e-10,5.97718319284013e-10,1.2120805285741765e-12,-7.161264005420618e-13,-2.7691403619466496e-13,1.7132349841462406e-13,-9.364633487725917e-13,0.0,0.0,0.0,0.0,0.0
222831000000,11123,222831000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292504295402068e-10,5.981020123613234e-10,-5.203881769944019e-10,5.977165429271736e-10,1.2120805293370135e-12,-7.161263992291622e-13,-2.7691403494099903e-13,1.7132349951069674e-13,-9.364633475297535e-13,0.0,0.0,0.0,0.0,0.0
222851000000,11124,222851000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292504295402068e-10,5.98100236004484e-10,-5.203881769944019e-10,5.977165429271736e-10,1.2120805288306893e-12,-7.161264001006836e-13,-2.7691403577310375e-13,1.7132349878322875e-13,-9.364633483547989e-13,0.0,0.0,0.0,0.0,0.0
222871000000,11125,222871000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292504295402068e-10,5.981020123613234e-10,-5.203881769944019e-10,5.97718319284013e-10,1.212080528574636e-12,-7.161264005411311e-13,-2.7691403619386827e-13,1.7132349841519982e-13,-9.364633487715408e-13,0.0,0.0,0.0,0.0,0.0
