%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.position0,field.position1,field.position2,field.position3,field.position4,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.effort0,field.effort1,field.effort2,field.effort3,field.effort4
105531000000,5253,105531000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292495413617871e-10,5.981020123613234e-10,-5.203872888159822e-10,5.977165429271736e-10,1.2120805280682243e-12,-7.161264014134253e-13,-2.769140370262232e-13,1.7132349768754543e-13,-9.36463349597993e-13,0.0,0.0,0.0,0.0,0.0
105551000000,5254,105551000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292495413617871e-10,5.981020123613234e-10,-5.203872888159822e-10,5.97718319284013e-10,1.2120805288298831e-12,-7.161264001019264e-13,-2.769140357740965e-13,1.7132349878209582e-13,-9.364633483560154e-13,0.0,0.0,0.0,0.0,0.0
105571000000,5255,105571000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292495413617871e-10,5.981020123613234e-10,-5.203872888159822e-10,5.977165429271736e-10,1.212080529083843e-12,-7.161263996650521e-13,-2.769140353568376e-13,1.7132349914696305e-13,-9.36463347942637e-13,0.0,0.0,0.0,0.0,0.0
105591000000,5256,105591000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292495413617871e-10,5.981020123613234e-10,-5.203872888159822e-10,5.97718319284013e-10,1.2120805273034114e-12,-7.161264027298243e-13,-2.7691403828303246e-13,1.7132349658877412e-13,-9.364633508443284e-13,0.0,0.0,0.0,0.0,0.0
105611000000,5257,105611000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292513177186265e-10,5.98100236004484e-10,-5.203872888159822e-10,5.977165429271736e-10,1.2120805280658283e-12,-7.161264014172735e-13,-2.7691403703012727e-13,1.7132349768421046e-13,-9.36463349601508e-13,0.0,0.0,0.0,0.0,0.0
105631000000,5258,105631000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292513177186265e-10,5.98100236004484e-10,-5.203864006375625e-10,5.97718319284013e-10,1.2120805285755182e-12,-7.161264005395389e-13,-2.7691403619216e-13,1.713234984166787e-13,-9.36463348770231e-13,0.0,0.0,0.0,0.0,0.0
105651000000,5259,105651000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292513177186265e-10,5.981020123613234e-10,-5.203872888159822e-10,5.977165429271736e-10,1.2120805293375955e-12,-7.161263992275594e-13,-2.7691403493966596e-13,1.7132349951151968e-13,-9.364633475280816e-13,0.0,0.0,0.0,0.0,0.0
105671000000,5260,105671000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292513177186265e-10,5.981020123613234e-10,-5.203872888159822e-10,5.97718319284013e-10,1.2120805285746026e-12,-7.161264005409257e-13,-2.76914036193632e-13,1.7132349841525152e-13,-9.364633487714873e-13,0.0,0.0,0.0,0.0,0.0
105691000000,5261,105691000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292513177186265e-10,5.981020123613234e-10,-5.203872888159822e-10,5.977165429271736e-10,1.212080528320683e-12,-7.16126400978403e-13,-2.7691403661116817e-13,1.7132349805034027e-13,-9.36463349185995e-13,0.0,0.0,0.0,0.0,0.0
105711000000,5262,105711000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292513177186265e-10,5.981020123613234e-10,-5.203872888159822e-10,5.977165429271736e-10,1.2120805280684864e-12,-7.161264014124332e-13,-2.769140370255695e-13,1.7132349768803435e-13,-9.364633495967987e-13,0.0,0.0,0.0,0.0,0.0
105731000000,5263,105731000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292513177186265e-10,5.981020123613234e-10,-5.203872888159822e-10,5.97718319284013e-10,1.2120805270512645e-12,-7.161264031638889e-13,-2.769140386976721e-13,1.7132349622634683e-13,-9.36463351255111e-13,0.0,0.0,0.0,0.0,0.0
105751000000,5264,105751000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292513177186265e-10,5.981020123613234e-10,-5.203872888159822e-10,5.977165429271736e-10,1.2120805280670487e-12,-7.1612640141549e-13,-2.7691403702821845e-13,1.713234976858929e-13,-9.364633495999131e-13,0.0,0.0,0.0,0.0,0.0
105771000000,5265,105771000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292513177186265e-10,5.981020123613234e-10,-5.203864006375625e-10,5.97718319284013e-10,1.2120805288282946e-12,-7.161264001045625e-13,-2.769140357766932e-13,1.7132349877985985e-13,-9.3646334835844e-13,0.0,0.0,0.0,0.0,0.0
105791000000,5266,105791000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292495413617871e-10,5.98100236004484e-10,-5.203872888159822e-10,5.977165429271736e-10,1.2120805280673724e-12,-7.161264014149298e-13,-2.7691403702761544e-13,1.713234976864123e-13,-9.364633495994575e-13,0.0,0.0,0.0,0.0,0.0
105811000000,5267,105811000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292495413617871e-10,5.981020123613234e-10,-5.203872888159822e-10,5.97718319284013e-10,1.2120805290829038e-12,-7.161263996660095e-13,-2.769140353581408e-13,1.713234991456118e-13,-9.364633479431269e-13,0.0,0.0,0.0,0.0,0.0
105831000000,5268,105831000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292495413617871e-10,5.981020123613234e-10,-5.203872888159822e-10,5.977165429271736e-10,1.212080529337129e-12,-7.161263992286925e-13,-2.76914034940455e-13,1.7132349951085709e-13,-9.364633475293328e-13,0.0,0.0,0.0,0.0,0.0
105851000000,5269,105851000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292495413617871e-10,5.981020123613234e-10,-5.203872888159822e-10,5.97718319284013e-10,1.2120805273040984e-12,-7.1612640272851e-13,-2.769140382819581e-13,1.713234965896538e-13,-9.364633508429887e-13,0.0,0.0,0.0,0.0,0.0
105871000000,5270,105871000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292495413617871e-10,5.981020123613234e-10,-5.203872888159822e-10,5.977165429271736e-10,1.2120805288260414e-12,-7.161264001086192e-13,-2.7691403578047163e-13,1.7132349877653618e-13,-9.364633483625907e-13,0.0,0.0,0.0,0.0,0.0
105891000000,5271,105891000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292495413617871e-10,5.981020123613234e-10,-5.203872888159822e-10,5.97718319284013e-10,1.2120805285767432e-12,-7.161264005378165e-13,-2.76914036190212e-13,1.7132349841835e-13,-9.364633487688539e-13,0.0,0.0,0.0,0.0,0.0
105911000000,5272,105911000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292495413617871e-10,5.981020123613234e-10,-5.203864006375625e-10,5.977165429271736e-10,1.2120805265410037e-12,-7.161264040425088e-13,-2.7691403953631004e-13,1.7132349549316977e-13,-9.36463352087498e-13,0.0,0.0,0.0,0.0,0.0
105931000000,5273,105931000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292513177186265e-10,5.981020123613234e-10,-5.203872888159822e-10,5.97718319284013e-10,1.2120805295948358e-12,-7.161263987848206e-13,-2.7691403451684884e-13,1.7132349988126053e-13,-9.364633471088028e-13,0.0,0.0,0.0,0.0,0.0
105951000000,5274,105951000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292513177186265e-10,5.98100236004484e-10,-5.203872888159822e-10,5.97718319284013e-10,1.2120805283242552e-12,-7.161264009722672e-13,-2.7691403660527693e-13,1.713234980555683e-13,-9.364633491798918e-13,0.0,0.0,0.0,0.0,0.0
105971000000,5275,105971000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292513177186265e-10,5.98100236004484e-10,-5.203872888159822e-10,5.977165429271736e-10,1.2120805293389033e-12,-7.161263992257535e-13,-2.769140349376463e-13,1.713234995135016e-13,-9.364633475264621e-13,0.0,0.0,0.0,0.0,0.0
105991000000,5276,105991000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292513177186265e-10,5.981020123613234e-10,-5.203872888159822e-10,5.97718319284013e-10,1.2120805285768123e-12,-7.161264005371486e-13,-2.7691403619003307e-13,1.713234984183993e-13,-9.364633487678092e-13,0.0,0.0,0.0,0.0,0.0
106011000000,5277,106011000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292513177186265e-10,5.981020123613234e-10,-5.203872888159822e-10,5.977165429271736e-10,1.2120805275577934e-12,-7.161264022917508e-13,-2.7691403786512066e-13,1.7132349695411653e-13,-9.364633504294353e-13,0.0,0.0,0.0,0.0,0.0
106031000000,5278,106031000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292513177186265e-10,5.981020123613234e-10,-5.203872888159822e-10,5.97718319284013e-10,1.2120805295925032e-12,-7.16126398788779e-13,-2.7691403452061033e-13,1.7132349987788658e-13,-9.364633471124857e-13,0.0,0.0,0.0,0.0,0.0
106051000000,5279,106051000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292513177186265e-10,5.981020123613234e-10,-5.203864006375625e-10,5.977165429271736e-10,1.212080528065597e-12,-7.161264014177347e-13,-2.7691403703051016e-13,1.7132349768378657e-13,-9.364633496019922e-13,0.0,0.0,0.0,0.0,0.0
106071000000,5280,106071000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292513177186265e-10,5.981020123613234e-10,-5.203872888159822e-10,5.97718319284013e-10,1.2120805280642233e-12,-7.161264014197956e-13,-2.769140370325331e-13,1.7132349768193834e-13,-9.36463349603753e-13,0.0,0.0,0.0,0.0,0.0
106091000000,5281,106091000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292513177186265e-10,5.981020123613234e-10,-5.203872888159822e-10,5.977165429271736e-10,1.2120805280640241e-12,-7.161264014204632e-13,-2.769140370330246e-13,1.7132349768160512e-13,-9.364633496046615e-13,0.0,0.0,0.0,0.0,0.0
106111000000,5282,106111000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292495413617871e-10,5.981020123613234e-10,-5.203872888159822e-10,5.97718319284013e-10,1.212080527299618e-12,-7.161264027360831e-13,-2.7691403828919754e-13,1.7132349658335787e-13,-9.36463350850161e-13,0.0,0.0,0.0,0.0,0.0
106131000000,5283,106131000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292495413617871e-10,5.98100236004484e-10,-5.203872888159822e-10,5.977165429271736e-10,1.2120805260331568e-12,-7.161264049168927e-13,-2.769140403711465e-13,1.7132349476345813e-13,-9.364633529153853e-13,0.0,0.0,0.0,0.0,0.0
106151000000,5284,106151000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292495413617871e-10,5.981020123613234e-10,-5.203872888159822e-10,5.97718319284013e-10,1.2120805280697778e-12,-7.161264014103549e-13,-2.7691403702349104e-13,1.713234976898026e-13,-9.364633495948995e-13,0.0,0.0,0.0,0.0,0.0
106171000000,5285,106171000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292495413617871e-10,5.981020123613234e-10,-5.203872888159822e-10,5.977165429271736e-10,1.2120805290857142e-12,-7.16126399661703e-13,-2.7691403535379406e-13,1.7132349914956293e-13,-9.364633479394632e-13,0.0,0.0,0.0,0.0,0.0
106191000000,5286,106191000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292495413617871e-10,5.981020123613234e-10,-5.203864006375625e-10,5.977165429271736e-10,1.2120805288293354e-12,-7.161264001030384e-13,-2.769140357751434e-13,1.7132349878119574e-13,-9.364633483572144e-13,0.0,0.0,0.0,0.0,0.0
106211000000,5287,106211000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292495413617871e-10,5.981020123613234e-10,-5.203872888159822e-10,5.97718319284013e-10,1.2120805285736873e-12,-7.161264005428347e-13,-2.769140361951052e-13,1.7132349841397864e-13,-9.364633487734444e-13,0.0,0.0,0.0,0.0,0.0
106231000000,5288,106231000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292495413617871e-10,5.981020123613234e-10,-5.203872888159822e-10,5.977165429271736e-10,1.2120805288299554e-12,-7.161264001020991e-13,-2.769140357741242e-13,1.7132349878213359e-13,-9.36463348356434e-13,0.0,0.0,0.0,0.0,0.0
106251000000,5289,106251000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292513177186265e-10,5.981020123613234e-10,-5.203872888159822e-10,5.97718319284013e-10,1.212080529081743e-12,-7.161263996679161e-13,-2.769140353600777e-13,1.7132349914403379e-13,-9.36463347944815e-13,0.0,0.0,0.0,0.0,0.0
106271000000,5290,106271000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292513177186265e-10,5.981020123613234e-10,-5.203872888159822e-10,5.977165429271736e-10,1.2120805280648148e-12,-7.161264014189094e-13,-2.7691403703172347e-13,1.7132349768275905e-13,-9.364633496030195e-13,0.0,0.0,0.0,0.0,0.0
106291000000,5291,106291000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292513177186265e-10,5.98100236004484e-10,-5.203872888159822e-10,5.97718319284013e-10,1.2120805280663708e-12,-7.161264014160686e-13,-2.769140370290232e-13,1.7132349768507904e-13,-9.364633496001686e-13,0.0,0.0,0.0,0.0,0.0
106311000000,5292,106311000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292513177186265e-10,5.98100236004484e-10,-5.203872888159822e-10,5.977165429271736e-10,1.2120805283207094e-12,-7.161264009785797e-13,-2.7691403661116615e-13,1.7132349805048163e-13,-9.364633491862168e-13,0.0,0.0,0.0,0.0,0.0
